timestamp,open,high,low,close,volume
2021-01-04,100.0,100.0411,99.8793,99.9159,974482
2021-01-05,99.9159,100.0192,98.4416,98.4798,946532
2021-01-06,98.4798,98.8974,98.2513,98.7676,852335
2021-01-07,98.7676,98.8904,97.7996,97.8247,1262216
2021-01-08,97.8247,98.7877,97.572,98.4036,1174680
2021-01-11,98.4036,98.5977,98.077,98.2259,1049642
2021-01-12,98.2259,99.3906,97.3533,98.843,816837
2021-01-13,98.843,100.1167,98.5878,99.7682,756185
2021-01-14,99.7682,99.8309,99.6702,99.742,1127682
2021-01-15,99.742,100.4217,99.5589,100.1508,1095698
2021-01-18,100.1508,100.2676,99.456,99.7402,836141
2021-01-19,99.7402,99.8795,98.482,98.704,1284369
2021-01-20,98.704,100.2063,98.663,100.1711,1190579
2021-01-21,100.1711,100.1798,98.7772,98.7851,1050647
2021-01-22,98.7851,100.6522,98.195,99.4181,887640
2021-01-25,99.4181,99.6381,98.4396,98.651,886633
2021-01-26,98.651,98.7646,97.8375,97.9965,886452
2021-01-27,97.9965,98.6328,97.852,98.4627,996306
2021-01-28,98.4627,100.0262,98.1891,99.5898,1180677
2021-01-29,99.5898,100.7446,98.9418,100.0291,994018
2021-02-01,100.0291,101.7334,99.9867,101.6826,969793
2021-02-02,101.6826,103.4622,101.2037,103.1909,1137776
2021-02-03,103.1909,104.0252,103.0835,103.8264,1344975
2021-02-04,103.8264,104.0061,102.7149,102.7932,1272356
2021-02-05,102.7932,103.5798,102.3273,102.9554,1177039
2021-02-08,102.9554,104.2885,101.7427,103.0205,1056168
2021-02-09,103.0205,103.1999,102.7655,102.9564,1198123
2021-02-10,102.9564,104.3895,102.6972,103.6271,1142477
2021-02-11,103.6271,103.6741,102.2872,102.3958,877795
2021-02-12,102.3958,103.1075,101.9847,102.7853,920907
2021-02-15,102.7853,104.3499,102.769,104.3354,1103397
2021-02-16,104.3354,105.0681,104.1819,104.911,1226676
2021-02-17,104.911,106.4476,104.5577,106.3106,1048740
2021-02-18,106.3106,106.3352,106.0399,106.0597,1296553
2021-02-19,106.0597,107.5745,105.7919,107.3915,1045946
2021-02-22,107.3915,107.6832,106.491,106.803,1121513
2021-02-23,106.803,107.7408,106.4213,106.6576,850943
2021-02-24,106.6576,107.381,106.4888,107.2794,884492
2021-02-25,107.2794,107.3713,106.3497,106.5792,627539
2021-02-26,106.5792,107.5799,106.4102,107.3842,979960
2021-03-01,107.3842,110.104,107.2972,109.8551,861862
2021-03-02,109.8551,110.0795,109.6711,109.9896,1040498
2021-03-03,109.9896,110.6174,109.2748,109.8719,1632988
2021-03-04,109.8719,110.1634,108.5742,108.9823,890698
2021-03-05,108.9823,110.5579,108.8495,110.4539,1248044
2021-03-08,110.4539,111.4208,109.1994,111.0345,992989
2021-03-09,111.0345,111.8613,110.8842,111.7248,1009383
2021-03-10,111.7248,112.6116,111.4593,112.3541,904358
2021-03-11,112.3541,112.6153,110.7114,111.1216,1089975
2021-03-12,111.1216,112.914,111.1017,112.8795,1200256
2021-03-15,112.8795,113.1145,111.6185,112.186,1666053
2021-03-16,112.186,112.3789,111.7916,112.217,1061518
